,name,datetime,temp,precip,windspeed,winddir,sealevelpressure,cloudcover,conditions
0,"-42.812054,66.193496",29/04/2023,11.9,0.1,16.9,314.7,1030,71.8,"Rain, Partially cloudy"
1,"-45.133593,71.335713",29/04/2023,9,0,23.4,281.8,1029.6,81.6,Partially cloudy
2,"-47.119781,76.738972",29/04/2023,7.2,0,31.7,273.8,1027.3,22.5,Partially cloudy
3,"-48.805834,82.558830",29/04/2023,5.9,0.1,49,263.2,1022.5,64.7,"Rain, Partially cloudy"
4,"-50.147633,88.756384",29/04/2023,5.3,0.7,63,253.9,1014,96.4,"Snow, Rain, Overcast"
5,"-51.113613,95.313076",29/04/2023,3.5,1.9,68.8,246.6,1004.7,84,"Snow, Rain, Partially cloudy"
6,"-51.663096,102.063000",29/04/2023,2.5,2.4,65.5,251.5,993.9,63.3,"Snow, Rain, Partially cloudy"
7,"-51.783780,108.922012",29/04/2023,2.3,2.7,62.3,254,987,87.4,"Snow, Partially cloudy"
8,"-51.472712,115.729339",29/04/2023,2.6,1.9,77.4,262.4,981.4,87.1,"Snow, Rain, Partially cloudy"
9,"-50.741691,122.374840",29/04/2023,4.3,1.8,65.9,270.7,980,95.4,"Snow, Rain, Overcast"
10,"44.583750,-121.774432",29/04/2023,19.6,0,28.2,314.4,1015,7.3,Clear
11,"46.656067,-116.431415",29/04/2023,19.4,0,22.2,80.7,1014.7,0,Clear
12,"48.422271,-110.704828",29/04/2023,12.8,0.11,21.5,62.9,1020,21.1,"Rain, Partially cloudy"
13,"49.851832,-104.597185",29/04/2023,7.2,0,37.3,352.4,1021,7.1,Clear
14,"50.909615,-98.152825",29/04/2023,4.1,1.1,35.3,339,1015.5,72,"Snow, Rain, Partially cloudy"
15,"51.564193,-91.456923",29/04/2023,2.6,0,25.9,45.5,1015.5,73.3,Partially cloudy
16,"51.794368,-84.628368",29/04/2023,2,5.4,25.9,38.8,1014.6,100,"Snow, Rain, Overcast"
17,"51.593332,-77.802694",29/04/2023,8.7,0.6,23,109.6,1013.4,82,"Rain, Partially cloudy"
18,"50.971118,-71.126676",29/04/2023,4.9,0,17.3,120.7,1019.8,63.9,Partially cloudy
19,"49.939267,-64.648202",29/04/2023,3.9,0,23.3,107.6,1023.7,33.8,Partially cloudy
20,"48.533922,-58.511251",29/04/2023,5.2,0,28.4,351.4,1022.8,46,Partially cloudy
21,"46.797316,-52.778015",29/04/2023,3.5,0.045,29.5,335.8,1014.8,87.7,"Snow, Rain, Partially cloudy"
22,"44.768542,-47.458681",29/04/2023,3.2,2.1,54.7,319.1,1003.7,100,"Snow, Rain, Overcast"
23,"42.479732,-42.532834",29/04/2023,10.4,3.3,50,300.9,999.6,96.3,"Rain, Overcast"
24,"39.961543,-37.974705",29/04/2023,14.3,17,56.5,243.3,997.6,99.3,"Rain, Overcast"
25,"37.269858,-33.793030",29/04/2023,16.8,13,64.1,194,1006.1,68.6,"Rain, Partially cloudy"
26,"34.417574,-29.922859",29/04/2023,18.8,7.1,49.7,191.4,1014.5,81.7,"Rain, Partially cloudy"
27,"31.436768,-26.336230",29/04/2023,20.7,0.7,26.6,186.4,1019.4,80.9,"Rain, Partially cloudy"
28,"28.338814,-22.984588",29/04/2023,22.1,0,11.5,40.5,1020.2,38.5,Partially cloudy
29,"25.144895,-19.837555",29/04/2023,21.9,0,26.6,33.9,1018.4,17.9,Clear
30,"21.865731,-16.858922",29/04/2023,25.6,0,31.7,7,1013.9,0,Clear
31,"18.541442,-14.041850",29/04/2023,36.6,0,24.5,25.3,1009.6,0,Clear
32,"15.169095,-11.344737",29/04/2023,35,0,22.3,337,1009.4,2.5,Clear
33,"11.759280,-8.742335",29/04/2023,31.9,0,15.5,223.3,1010.1,5.3,Clear
