City: Herat	Coordinates: 34.3508273, 62.2164003
City: Kabul	Coordinates: 34.5260109, 69.1776838
City: Algiers	Coordinates: 36.7753606, 3.0601882
City: Annaba	Coordinates: 36.8982165, 7.7549272
City: Bechar	Coordinates: 31.385726, -2.011595847987405
City: Biskra	Coordinates: 34.784563500000004, 5.812435334419206
City: Constantine	Coordinates: 36.3641642, 6.6084281
City: Djanet	Coordinates: 24.071521, 9.615584725366856
City: Djelfa	Coordinates: 34.342841, 3.217253079090331
City: Ghardaia	Coordinates: 32.485855, 3.677104
City: Oran	Coordinates: 35.7044415, -0.6502981
City: Setif	Coordinates: 36.1895852, 5.4024656
City: Tamanrasset	Coordinates: 24.3753438, 4.3208436
City: Tlemcen	Coordinates: 34.881789, -1.316699
City: Luanda	Coordinates: -8.8272699, 13.2439512
City: St. John's Antigua	Coordinates: 17.1184569, -61.8448509
City: Bariloche	Coordinates: -41.1334421, -71.3098425
City: Buenos Aires	Coordinates: -34.6075682, -58.4370894
City: Cordoba	Coordinates: 37.8845813, -4.7760138
City: El Calafate	Coordinates: -50.3388712, -72.2720843
City: Iguazu	Coordinates: -27.6034457, -55.3175431
City: Mar del Plata	Coordinates: -37.9977225, -57.5482703
City: Mendoza	Coordinates: -34.787093049999996, -68.43818677312292
City: Salta	Coordinates: -25.1076701, -64.3494964
City: Trelew	Coordinates: -43.2531242, -65.3094407
City: Ushuaia	Coordinates: -54.806115899999995, -68.3184972880496
City: Dilijan	Coordinates: 40.7417183, 44.8721946
City: Jermuk	Coordinates: 39.8388185, 45.6712635
City: Kapan	Coordinates: 39.2075659, 46.4049281
City: Sevan	Coordinates: 40.39251994999999, 45.34608665450213
City: Vanadzor	Coordinates: 40.8111917, 44.4851995
City: Yerevan	Coordinates: 40.1777112, 44.5126233
City: Adelaide	Coordinates: -34.9281805, 138.5999312
City: Adventure Bay	Coordinates: -43.3623416, 147.3291054
City: Albany	Coordinates: 41.000028, 19.9999619
City: Albion Park	Coordinates: -34.5708425, 150.7752326
City: Albury	Coordinates: -36.0737304, 146.9135396
City: Albury / Wodonga	Coordinates: -36.0895979, 146.8806299
City: Alice Springs	Coordinates: -23.6983884, 133.8812885
City: Alyangula	Coordinates: -13.8511843, 136.4201454
City: Ararat	Coordinates: -37.2843443, 142.930621
City: Argyle	Coordinates: 33.110156, -97.17975755365843
City: Armidale	Coordinates: -30.5144881, 151.6656564
City: Augusta	Coordinates: 33.4709714, -81.9748429
City: Avalon	Coordinates: 33.34221, -118.3272612
City: Ayr / Home Hill	Coordinates: -19.5961275, 147.3945513
City: Bairnsdale	Coordinates: -37.8254509, 147.6304752
City: Ballarat	Coordinates: -37.5623025, 143.8605649
City: Ballina	Coordinates: -28.86574, 153.5659468
City: Batemans Bay	Coordinates: -35.7072183, 150.178289
City: Bathurst	Coordinates: -33.4166378, 149.5804943
City: Beechworth	Coordinates: -36.3594929, 146.687012
City: Bega	Coordinates: -36.6780983, 149.8408283
City: Bellerive	Coordinates: 38.71144, -90.3140032
City: Ben Lomond	Coordinates: 37.0891143, -122.086352
City: Benalla	Coordinates: -36.571408500000004, 145.99119663118555
City: Bendigo	Coordinates: -36.7588767, 144.2825931
City: Bicheno	Coordinates: -41.8748974, 148.3038105
City: Bondi	Coordinates: 48.9031, 2.48291
City: Borroloola	Coordinates: -16.0594471, 136.3054069
City: Bothwell	Coordinates: 55.8026551, -4.0676955
City: Bourke	Coordinates: -30.0914494, 145.9429902
City: Bowen	Coordinates: 40.2333789, -91.0626375
City: Bowral	Coordinates: -34.4816626, 150.4177868
City: Bridgetown	Coordinates: 13.0977832, -59.6184184
City: Bridport	Coordinates: 50.733785, -2.7589005
City: Brisbane	Coordinates: -27.4689682, 153.0234991
City: Brisbane Airport	Coordinates: -27.3874138, 153.1214764869268
City: Brisbane Bayside	Coordinates: -27.5776691, 153.3046209561504
City: Broken Hill	Coordinates: -31.965, 141.4511111
City: Broome	Coordinates: 42.1455623, -75.8404114
City: Bunbury	Coordinates: -33.3267797, 115.636698
City: Bundaberg	Coordinates: -24.8653253, 152.3516785
City: Busselton	Coordinates: -33.644499, 115.3488754
City: Cabramurra	Coordinates: -35.9361681, 148.3808612
City: Cairns	Coordinates: -16.9206657, 145.7721854
City: Campbell Town [NSW]	Coordinates: -41.9284173, 147.4958801
City: Campbell Town [TAS]	Coordinates: -41.9284173, 147.4958801
City: Canberra	Coordinates: -35.2975906, 149.1012676
City: Canterbury	Coordinates: 51.2800275, 1.0802533
City: Cape Byron	Coordinates: -28.6334599, 153.6382439
